"id";"x";"y"
1024;1;276
1025;11;288
17;62;43
6;46;-305
1544;113;-36
523;-149;-59
1548;-65;-13
14;-245;99
3089;-143;-70
1454;-236;105
536;37;-74
1562;-5;-316
549;-171;-71
1574;-30;1
1575;-121;95
1576;-48;11
1577;-52;-6
554;295;-113
1579;-20;-7
1580;-112;95
3629;-114;-42
3630;-120;-90
2095;-175;-50
3632;-148;-95
3633;-158;-26
3634;-155;-80
3635;-124;-101
3636;-163;-38
3637;-145;-85
3638;-136;-79
3639;-164;-49
3640;-132;-91
3641;-165;-18
3642;-150;-33
3643;-111;-81
3644;-155;-10
3645;-152;-47
3646;-99;-81
3647;-147;-19
7233;-174;230
7234;-151;246
7235;-180;218
7236;-139;248
7237;-152;236
7238;-162;229
2913;324;-101
7240;-155;219
7241;-105;226
7242;-138;237
7243;-164;207
7244;-115;240
7245;-127;231
7246;-178;197
7247;-115;229
7248;-178;207
1619;-112;-98
1623;-175;-40
2143;46;-83
2663;103;-41
615;91;-38
1134;-22;6
119;89;71
1660;-171;30
639;-37;11
129;304;-101
136;178;-69
142;-63;56
1560;-164;240
146;307;-113
1176;-129;190
159;-227;98
3759;-210;134
1713;-2;-327
1714;22;-325
1717;9;-319
697;-76;-31
698;278;67
699;-176;-61
4285;59;-88
1729;-131;-1
708;33;-312
4385;111;-63
713;-127;244
2777;-239;90
1487;-42;-41
732;105;-54
464;-169;191
1765;15;-277
1766;118;-177
1767;54;-315
3452;259;69
1772;83;-83
4335;93;-51
241;-156;-69
250;93;-74
1578;-56;4
4868;280;33
3333;269;51
266;-39;-171
1581;-13;-16
1811;-222;133
2324;57;-4
277;-133;81
3631;-171;-29
285;-14;-148
1823;54;-40
4384;101;-28
1825;98;-84
4386;94;-13
4387;72;-87
4388;98;-64
4389;86;-60
4390;53;-98
4391;110;-24
4392;81;-16
4393;70;-76
4394;79;6
4395;32;-85
4396;80;-70
4397;68;7
4398;66;-99
4399;105;-13
4400;45;0
4401;57;-76
818;93;-1
607;42;-262
5435;229;38
5436;270;76
5437;282;56
5438;248;85
5439;271;25
5440;270;39
5441;248;73
5442;282;45
5443;267;62
5444;236;81
325;-138;-100
5446;318;-112
5447;306;-123
328;-125;-77
3913;-217;124
5450;314;-97
5451;316;-86
5452;294;-126
3405;105;-74
1593;-29;-45
1850;12;-330
1888;316;-76
4496;-223;111
1851;-15;-312
361;8;-36
2922;26;-68
370;114;-48
1639;-144;226
380;78;-97
385;-37;-58
1412;37;-8
4493;-226;86
4494;-234;127
4495;-226;74
2960;-92;-74
913;55;8
916;89;-92
1432;-145;-3
3338;260;83
1582;-39;-3
2973;83;-5
5445;272;-77
417;276;-18
1960;-163;-60
7239;-169;219
428;-67;0
942;42;-93
1456;-243;114
5448;282;-116
438;105;15
5449;320;-68
1468;-75;-14
1866;327;-87
1473;90;-25
451;-238;79
3524;-120;-3
458;-231;118
460;-32;-68
5453;280;-126
1488;-17;-70
1016;25;278
1490;-1;-202
1491;-16;-176
578;59;-303
1497;-166;-80
1018;47;272
479;-27;-56
480;42;-320
3045;-102;-92
487;-184;96
1022;55;282
1013;27;236
1014;22;291
1015;34;292
504;70;-5
1017;63;262
1530;-137;-12
1019;12;276
1020;60;272
1021;36;279
3070;-159;-90
1023;45;288
